Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Pclass_Age,Pclass_SibSp,Pclass_Parch,Pclass_Fare,Pclass_Sex_female,Pclass_Sex_male,Pclass_Embarked_C,Pclass_Embarked_Q,Pclass_Embarked_S,Age_SibSp,Age_Parch,Age_Fare,Age_Sex_female,Age_Sex_male,Age_Embarked_C,Age_Embarked_Q,Age_Embarked_S,SibSp_Parch,SibSp_Fare,SibSp_Sex_female,SibSp_Sex_male,SibSp_Embarked_C,SibSp_Embarked_Q,SibSp_Embarked_S,Parch_Fare,Parch_Sex_female,Parch_Sex_male,Parch_Embarked_C,Parch_Embarked_Q,Parch_Embarked_S,Fare_Sex_female,Fare_Sex_male,Fare_Embarked_C,Fare_Embarked_Q,Fare_Embarked_S,Sex_female_Sex_male,Sex_female_Embarked_C,Sex_female_Embarked_Q,Sex_female_Embarked_S,Sex_male_Embarked_C,Sex_male_Embarked_Q,Sex_male_Embarked_S,Embarked_C_Embarked_Q,Embarked_C_Embarked_S,Embarked_Q_Embarked_S
3.0,22.0,1.0,0.0,7.25,0.0,1.0,0.0,0.0,1.0,66.0,3.0,0.0,21.75,0.0,3.0,0.0,0.0,3.0,22.0,0.0,159.5,0.0,22.0,0.0,0.0,22.0,0.0,7.25,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,38.0,1.0,0.0,71.2833,1.0,0.0,1.0,0.0,0.0,38.0,1.0,0.0,71.2833,1.0,0.0,1.0,0.0,0.0,38.0,0.0,2708.7653999999998,38.0,0.0,38.0,0.0,0.0,0.0,71.2833,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2833,0.0,71.2833,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,26.0,0.0,0.0,7.925,1.0,0.0,0.0,0.0,1.0,78.0,0.0,0.0,23.775,3.0,0.0,0.0,0.0,3.0,0.0,0.0,206.04999999999998,26.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.925,0.0,0.0,0.0,7.925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,35.0,1.0,0.0,53.1,1.0,0.0,0.0,0.0,1.0,35.0,1.0,0.0,53.1,1.0,0.0,0.0,0.0,1.0,35.0,0.0,1858.5,35.0,0.0,0.0,0.0,35.0,0.0,53.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.1,0.0,0.0,0.0,53.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,35.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,105.0,0.0,0.0,24.150000000000002,0.0,3.0,0.0,0.0,3.0,0.0,0.0,281.75,0.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,28.0,0.0,0.0,8.4583,0.0,1.0,0.0,1.0,0.0,84.0,0.0,0.0,25.374899999999997,0.0,3.0,0.0,3.0,0.0,0.0,0.0,236.83239999999998,0.0,28.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4583,0.0,8.4583,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1.0,54.0,0.0,0.0,51.8625,0.0,1.0,0.0,0.0,1.0,54.0,0.0,0.0,51.8625,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2800.575,0.0,54.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8625,0.0,0.0,51.8625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,2.0,3.0,1.0,21.075,0.0,1.0,0.0,0.0,1.0,6.0,9.0,3.0,63.224999999999994,0.0,3.0,0.0,0.0,3.0,6.0,2.0,42.15,0.0,2.0,0.0,0.0,2.0,3.0,63.224999999999994,0.0,3.0,0.0,0.0,3.0,21.075,0.0,1.0,0.0,0.0,1.0,0.0,21.075,0.0,0.0,21.075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,27.0,0.0,2.0,11.1333,1.0,0.0,0.0,0.0,1.0,81.0,0.0,6.0,33.3999,3.0,0.0,0.0,0.0,3.0,0.0,54.0,300.5991,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2666,2.0,0.0,0.0,0.0,2.0,11.1333,0.0,0.0,0.0,11.1333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,14.0,1.0,0.0,30.0708,1.0,0.0,1.0,0.0,0.0,28.0,2.0,0.0,60.1416,2.0,0.0,2.0,0.0,0.0,14.0,0.0,420.9912,14.0,0.0,14.0,0.0,0.0,0.0,30.0708,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0708,0.0,30.0708,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,1.0,1.0,16.7,1.0,0.0,0.0,0.0,1.0,12.0,3.0,3.0,50.099999999999994,3.0,0.0,0.0,0.0,3.0,4.0,4.0,66.8,4.0,0.0,0.0,0.0,4.0,1.0,16.7,1.0,0.0,0.0,0.0,1.0,16.7,1.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,0.0,16.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,58.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0,1.0,58.0,0.0,0.0,26.55,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1539.9,58.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.55,0.0,0.0,0.0,26.55,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,20.0,0.0,0.0,8.05,0.0,1.0,0.0,0.0,1.0,60.0,0.0,0.0,24.150000000000002,0.0,3.0,0.0,0.0,3.0,0.0,0.0,161.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.05,0.0,0.0,8.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,39.0,1.0,5.0,31.275,0.0,1.0,0.0,0.0,1.0,117.0,3.0,15.0,93.82499999999999,0.0,3.0,0.0,0.0,3.0,39.0,195.0,1219.725,0.0,39.0,0.0,0.0,39.0,5.0,31.275,0.0,1.0,0.0,0.0,1.0,156.375,0.0,5.0,0.0,0.0,5.0,0.0,31.275,0.0,0.0,31.275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3.0,14.0,0.0,0.0,7.8542,1.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,23.5626,3.0,0.0,0.0,0.0,3.0,0.0,0.0,109.9588,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8542,0.0,0.0,0.0,7.8542,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,55.0,0.0,0.0,16.0,1.0,0.0,0.0,0.0,1.0,110.0,0.0,0.0,32.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,880.0,55.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.0,4.0,1.0,29.125,0.0,1.0,0.0,1.0,0.0,6.0,12.0,3.0,87.375,0.0,3.0,0.0,3.0,0.0,8.0,2.0,58.25,0.0,2.0,0.0,2.0,0.0,4.0,116.5,0.0,4.0,0.0,4.0,0.0,29.125,0.0,1.0,0.0,1.0,0.0,0.0,29.125,0.0,29.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2.0,28.0,0.0,0.0,13.0,0.0,1.0,0.0,0.0,1.0,56.0,0.0,0.0,26.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,364.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
